url,proposed_strategy,priority,playwright_needed,notes
https://buenosaires.gob.ar/jefaturadegabinete/desarrollo-urbano/normativa/codigo-urbanistico-y-de-edificacion,structured_listing,high,no,"Sitio accesible con requests; conviene extraer novedades, links o bloques relevantes en vez del body completo."
https://buenosaires.gob.ar/jefaturadegabinete/desarrollo-urbano/novedades-de-la-subsecretaria-de-gestion-urbana,structured_listing,high,no,"Listado de novedades; candidato claro para parseo de cards o titulos con fechas."
https://buenosaires.gob.ar/jefaturadegabinete/desarrollo-urbano,structured_listing,medium,no,"Landing page con ruido; mejor reducir a bloques de novedades o enlaces destacados."
https://buenosaires.gob.ar/agc/noticias,structured_listing,high,no,"Listado de noticias; requests alcanza, falta selector correcto."
https://www.cpau.org/noticias,structured_listing,high,no,"En el prototipo no detectaba cambios; el problema parece de selector, no de acceso."
https://buenosaires.gob.ar/noticias/desarrollo-urbano,structured_listing,high,no,"Listado de noticias; no necesita browser completo."
https://adrianmercadorealestate.com/blog/informes,playwright_fallback,medium,sometimes,"Hoy devuelve 403 con requests en esta PC, pero en el prototipo detectaba cambios. Conviene intentar requests primero y dejar Playwright como fallback."
https://www.estadisticaciudad.gob.ar/eyc/?page_id=1479,structured_listing,high,no,"Pagina muy grande; conviene hashear solo listado de informes, links y fechas."
https://ceso.com.ar/producciones-publicaciones/,structured_listing,high,no,"Accesible con requests; deberia monitorearse como listado de publicaciones."
https://colegioinmobiliario.org.ar/institucional/observatorioEstadistico,structured_listing,high,no,"Accesible con requests; en el prototipo no detectaba cambios, probable problema de parseo."
https://colegioinmobiliario.org.ar/novedades,structured_listing,high,no,"Accesible con requests; conviene selector de novedades con titulos y fechas."
https://www.colliers.com/es-ar,playwright_listing,medium,yes,"Requests devuelve 403; candidato real para Playwright, pero solo sobre la seccion de reportes o noticias."
https://www.afcp.org.ar/despacho-mensual,static_text,high,no,"Ya funciona bien con requests; mantener simple salvo que aparezca ruido."
https://www.indec.gob.ar/indec/web/Nivel3-Tema-3-3,structured_listing,high,no,"Accesible con requests; en el prototipo no detectaba cambios, probable problema de monitorear demasiado texto."
https://www.remax.com.ar/indice-remax,structured_listing,high,no,"Accesible con requests; conviene extraer cards, titulos o links a informes."
https://www.ieric.org.ar/estadistica/informes-de-coyuntura/?2025,structured_listing,high,no,"Accesible con requests y con patron de listados."
https://www.uade.edu.ar/sites/investigacion/instituto-de-economia-ineco/informes-y-novedades/mei-informe-del-mercado-inmobiliario-e-indice-del-salario-real/,static_text,high,no,"Requests funciona bien; ya se valido localmente sin Playwright."
https://www.nmrk.com.ar/informe/11023/reportes-de-mercado-2025,structured_listing,medium,no,"Hoy responde 200 con requests; revisar selector antes de mandar a Playwright."
https://www.fabianachaval.com/blog,playwright_fallback,medium,sometimes,"Hoy devuelve 403 con requests en esta PC, pero en el prototipo detectaba cambios. Conviene fallback, no browser obligatorio de entrada."
https://sites.google.com/view/red-operaciones-inmobiliarias,structured_listing,medium,no,"Accesible con requests; mejor monitorear bloques o links relevantes del sitio."
https://www.ljramos.com.ar/informes-del-mercado-inmobiliario,playwright_fallback,medium,sometimes,"Hoy devuelve 403 con requests en esta PC, pero antes detectaba cambios. Probar requests con parseo dirigido y dejar Playwright como fallback."
https://www.cbre.com.ar/insights#market-reports,playwright_listing,medium,yes,"Requests devuelve 403; caso razonable para Playwright sobre contenedor especifico."
https://www.reporteinmobiliario.com/,structured_listing,medium,no,"Accesible con requests; conviene limitar el hash a titulares o seccion objetivo."
https://areasglobales.com.ar/,structured_listing,medium,no,"Accesible con requests; revisar si conviene listar publicaciones o noticias destacadas."
https://www.lanacion.com.ar/buenos-aires/,structured_listing,medium,no,"Accesible con requests; no conviene body completo por alto ruido editorial."
https://www.infobae.com/economia/real-estate/,structured_listing,medium,no,"Accesible con requests; conviene extraer listado de notas con titulo y fecha."
https://www.zonaprop.com.ar/blog/zpindex/,special_pdf_probe,high,no,"Mantener estrategia especial de PDF mensual."
https://www.zonaprop.com.ar/blog/zpindex/gba-oeste-sur-venta/,special_pdf_probe,high,no,"Mantener estrategia especial de PDF mensual."
https://www.zonaprop.com.ar/blog/zpindex/gba-venta/,special_pdf_probe,high,no,"Mantener estrategia especial de PDF mensual."
https://www.zonaprop.com.ar/blog/zpindex/informe-demanda/,special_pdf_probe,high,no,"Mantener estrategia especial de PDF mensual."
